"source","scenario","scenario_geography","sector","technology","indicator","units","year","value"
"GECO2021","CurPol","Brazil","Power","OilCap","Capacity","MW",2025,7941.5712890625
"GECO2021","CurPol","Brazil","Power","GasCap","Capacity","MW",2025,13229.6103515625
"GECO2021","CurPol","Brazil","Power","HydroCap","Capacity","MW",2025,118593.2578125
"GECO2021","CurPol","Brazil","Power","NuclearCap","Capacity","MW",2025,3013.14013671875
"GECO2021","CurPol","Brazil","Power","RenewablesCap","Capacity","MW",2025,47586.7890625
"GECO2021","NDC-LTS","Brazil","Power","CoalCap","Capacity","MW",2025,5132.15771484375
"GECO2021","NDC-LTS","Brazil","Power","OilCap","Capacity","MW",2025,7941.5712890625
"GECO2021","NDC-LTS","Brazil","Power","GasCap","Capacity","MW",2025,13212.6611328125
"GECO2021","NDC-LTS","Brazil","Power","HydroCap","Capacity","MW",2025,118716.3203125
"GECO2021","NDC-LTS","Brazil","Power","NuclearCap","Capacity","MW",2025,3013.14013671875
"GECO2021","NDC-LTS","Brazil","Power","RenewablesCap","Capacity","MW",2025,47684.9453125
"GECO2021","1.5C-Unif","Brazil","Power","CoalCap","Capacity","MW",2025,5132.15771484375
"GECO2021","1.5C-Unif","Brazil","Power","OilCap","Capacity","MW",2025,7941.5712890625
"GECO2021","1.5C-Unif","Brazil","Power","GasCap","Capacity","MW",2025,13475.3017578125
"GECO2021","1.5C-Unif","Brazil","Power","HydroCap","Capacity","MW",2025,118936.2265625
"GECO2021","1.5C-Unif","Brazil","Power","NuclearCap","Capacity","MW",2025,3013.14013671875
"GECO2021","1.5C-Unif","Brazil","Power","RenewablesCap","Capacity","MW",2025,47768.4921875
"GECO2021","CurPol","Canada","Power","CoalCap","Capacity","MW",2025,558.558288574218
"GECO2021","CurPol","Canada","Power","OilCap","Capacity","MW",2025,5613.197265625
"GECO2021","CurPol","Canada","Power","GasCap","Capacity","MW",2025,13145.0126953125
"GECO2021","CurPol","Canada","Power","HydroCap","Capacity","MW",2025,88339.7265625
"GECO2021","CurPol","Canada","Power","NuclearCap","Capacity","MW",2025,13614.0107421875
"GECO2021","CurPol","Canada","Power","RenewablesCap","Capacity","MW",2025,37198.046875
"GECO2021","NDC-LTS","Canada","Power","CoalCap","Capacity","MW",2025,976.740234375
"GECO2021","NDC-LTS","Canada","Power","OilCap","Capacity","MW",2025,5788.17822265625
"GECO2021","NDC-LTS","Canada","Power","GasCap","Capacity","MW",2025,13105.685546875
"GECO2021","NDC-LTS","Canada","Power","HydroCap","Capacity","MW",2025,88646.3203125
"GECO2021","NDC-LTS","Canada","Power","NuclearCap","Capacity","MW",2025,13035.5185546875
"GECO2021","NDC-LTS","Canada","Power","RenewablesCap","Capacity","MW",2025,57686.3828125
"GECO2021","1.5C-Unif","Canada","Power","CoalCap","Capacity","MW",2025,552.815185546875
"GECO2021","1.5C-Unif","Canada","Power","OilCap","Capacity","MW",2025,5733.052734375
"GECO2021","1.5C-Unif","Canada","Power","GasCap","Capacity","MW",2025,13097.0537109375
"GECO2021","1.5C-Unif","Canada","Power","HydroCap","Capacity","MW",2025,88384.3984375
"GECO2021","1.5C-Unif","Canada","Power","NuclearCap","Capacity","MW",2025,13568.80078125
"GECO2021","1.5C-Unif","Canada","Power","RenewablesCap","Capacity","MW",2025,38360.2890625
"GECO2021","CurPol","Chile","Power","CoalCap","Capacity","MW",2025,4652.37646484375
"GECO2021","CurPol","Chile","Power","OilCap","Capacity","MW",2025,4426.16259765625
"GECO2021","CurPol","Chile","Power","GasCap","Capacity","MW",2025,4921.5322265625
"GECO2021","CurPol","Chile","Power","HydroCap","Capacity","MW",2025,9979.5869140625
"GECO2021","CurPol","Chile","Power","NuclearCap","Capacity","MW",2025,0.00026587303727865
"GECO2021","CurPol","Chile","Power","RenewablesCap","Capacity","MW",2025,9466.8349609375
"GECO2021","NDC-LTS","Chile","Power","CoalCap","Capacity","MW",2025,4442.17822265625
"GECO2021","NDC-LTS","Chile","Power","OilCap","Capacity","MW",2025,4426.16259765625
"GECO2021","NDC-LTS","Chile","Power","GasCap","Capacity","MW",2025,4037.53076171875
"GECO2021","NDC-LTS","Chile","Power","HydroCap","Capacity","MW",2025,10279.798828125
"GECO2021","NDC-LTS","Chile","Power","NuclearCap","Capacity","MW",2025,0.00026587303727865
"GECO2021","NDC-LTS","Chile","Power","RenewablesCap","Capacity","MW",2025,11678.873046875
"GECO2021","1.5C-Unif","Chile","Power","CoalCap","Capacity","MW",2025,4652.37646484375
"GECO2021","1.5C-Unif","Chile","Power","OilCap","Capacity","MW",2025,4426.16259765625
"GECO2021","1.5C-Unif","Chile","Power","GasCap","Capacity","MW",2025,4893.04541015625
"GECO2021","1.5C-Unif","Chile","Power","HydroCap","Capacity","MW",2025,10172.02734375
"GECO2021","1.5C-Unif","Chile","Power","NuclearCap","Capacity","MW",2025,0.00026587303727865
"GECO2021","1.5C-Unif","Chile","Power","RenewablesCap","Capacity","MW",2025,10696.486328125
"GECO2021","CurPol","China","Power","CoalCap","Capacity","MW",2025,1182475.625
"GECO2021","CurPol","China","Power","OilCap","Capacity","MW",2025,14304.435546875
"GECO2021","CurPol","China","Power","GasCap","Capacity","MW",2025,279594.65625
"GECO2021","CurPol","China","Power","HydroCap","Capacity","MW",2025,494528.125
"GECO2021","CurPol","China","Power","NuclearCap","Capacity","MW",2025,70000
"GECO2021","CurPol","China","Power","RenewablesCap","Capacity","MW",2025,580324.75
"GECO2021","NDC-LTS","China","Power","CoalCap","Capacity","MW",2025,1182673.625
"GECO2021","NDC-LTS","China","Power","OilCap","Capacity","MW",2025,14444.8095703125
"GECO2021","NDC-LTS","China","Power","GasCap","Capacity","MW",2025,281436.5
"GECO2021","NDC-LTS","China","Power","HydroCap","Capacity","MW",2025,494759.1875
"GECO2021","NDC-LTS","China","Power","NuclearCap","Capacity","MW",2025,70000
"GECO2021","NDC-LTS","China","Power","RenewablesCap","Capacity","MW",2025,581462.9375
"GECO2021","1.5C-Unif","China","Power","CoalCap","Capacity","MW",2025,1169867.25
"GECO2021","1.5C-Unif","China","Power","OilCap","Capacity","MW",2025,10864.693359375
"GECO2021","1.5C-Unif","China","Power","GasCap","Capacity","MW",2025,296104.78125
"GECO2021","1.5C-Unif","China","Power","HydroCap","Capacity","MW",2025,497434.5625
"GECO2021","1.5C-Unif","China","Power","NuclearCap","Capacity","MW",2025,70000
"GECO2021","1.5C-Unif","China","Power","RenewablesCap","Capacity","MW",2025,898759.8125
"GECO2021","CurPol","Egypt","Power","CoalCap","Capacity","MW",2025,187.222778320312
"GECO2021","CurPol","Egypt","Power","OilCap","Capacity","MW",2025,4962.97607421875
"GECO2021","CurPol","Egypt","Power","GasCap","Capacity","MW",2025,44616.7578125
"GECO2021","CurPol","Egypt","Power","HydroCap","Capacity","MW",2025,2975.48217773437
"GECO2021","CurPol","Egypt","Power","NuclearCap","Capacity","MW",2025,0.00026587303727865
"GECO2021","CurPol","Egypt","Power","RenewablesCap","Capacity","MW",2025,4891.08520507812
"GECO2021","NDC-LTS","Egypt","Power","CoalCap","Capacity","MW",2025,187.000610351562
"GECO2021","NDC-LTS","Egypt","Power","OilCap","Capacity","MW",2025,4962.95166015625
"GECO2021","NDC-LTS","Egypt","Power","GasCap","Capacity","MW",2025,44610.46875
"GECO2021","NDC-LTS","Egypt","Power","HydroCap","Capacity","MW",2025,2975.48657226562
"GECO2021","NDC-LTS","Egypt","Power","NuclearCap","Capacity","MW",2025,0.00026587303727865
"GECO2021","NDC-LTS","Egypt","Power","RenewablesCap","Capacity","MW",2025,4912.66040039062
"GECO2021","1.5C-Unif","Egypt","Power","CoalCap","Capacity","MW",2025,53.4834289550781
"GECO2021","1.5C-Unif","Egypt","Power","OilCap","Capacity","MW",2025,4906.1083984375
"GECO2021","1.5C-Unif","Egypt","Power","GasCap","Capacity","MW",2025,44013.55859375
"GECO2021","1.5C-Unif","Egypt","Power","HydroCap","Capacity","MW",2025,2984.53002929687
"GECO2021","1.5C-Unif","Egypt","Power","NuclearCap","Capacity","MW",2025,0.00026587303727865
"GECO2021","1.5C-Unif","Egypt","Power","RenewablesCap","Capacity","MW",2025,7079.65063476562
"GECO2021","CurPol","UK","Power","CoalCap","Capacity","MW",2025,32.6674003601074
"GECO2021","CurPol","UK","Power","OilCap","Capacity","MW",2025,504.308624267578
"GECO2021","CurPol","UK","Power","GasCap","Capacity","MW",2025,37254.828125
"GECO2021","CurPol","UK","Power","HydroCap","Capacity","MW",2025,4507.06689453125
"GECO2021","CurPol","UK","Power","NuclearCap","Capacity","MW",2025,7811
"GECO2021","CurPol","UK","Power","RenewablesCap","Capacity","MW",2025,70453.8159179687
"GECO2021","NDC-LTS","UK","Power","CoalCap","Capacity","MW",2025,46.20308303833
"GECO2021","NDC-LTS","UK","Power","OilCap","Capacity","MW",2025,535.733825683593
"GECO2021","NDC-LTS","UK","Power","GasCap","Capacity","MW",2025,36913.3984375
"GECO2021","NDC-LTS","UK","Power","HydroCap","Capacity","MW",2025,4507.06689453125
"GECO2021","NDC-LTS","UK","Power","NuclearCap","Capacity","MW",2025,7811
"GECO2021","NDC-LTS","UK","Power","RenewablesCap","Capacity","MW",2025,75608.4252929687
"GECO2021","1.5C-Unif","UK","Power","CoalCap","Capacity","MW",2025,72.2685470581054
"GECO2021","1.5C-Unif","UK","Power","OilCap","Capacity","MW",2025,500.71499633789
"GECO2021","1.5C-Unif","UK","Power","GasCap","Capacity","MW",2025,36939.046875
"GECO2021","1.5C-Unif","UK","Power","HydroCap","Capacity","MW",2025,4507.06689453125
"GECO2021","1.5C-Unif","UK","Power","NuclearCap","Capacity","MW",2025,7811
"GECO2021","1.5C-Unif","UK","Power","RenewablesCap","Capacity","MW",2025,72477.6127929687
"GECO2021","CurPol","Indonesia","Power","CoalCap","Capacity","MW",2025,33892.25
"GECO2021","CurPol","Indonesia","Power","OilCap","Capacity","MW",2025,11525.2412109375
"GECO2021","CurPol","Indonesia","Power","GasCap","Capacity","MW",2025,22398.4140625
"GECO2021","CurPol","Indonesia","Power","HydroCap","Capacity","MW",2025,10014.666015625
"GECO2021","CurPol","Indonesia","Power","NuclearCap","Capacity","MW",2025,0.00026587303727865
"GECO2021","CurPol","Indonesia","Power","RenewablesCap","Capacity","MW",2025,29245.083984375
