"Scenario","Region","Sector","Units","Variable_class","Sub_variable_class_1","Sub_variable_class_2","year","value"
"FPS","SA","Power","GW","Capacity","Electricity generation","Offshore wind","2020",0
"FPS","ZAF","Power","GW","Capacity","Electricity generation","Offshore wind","2020",0
"FPS","SEAO","Power","GW","Capacity","Electricity generation","Offshore wind","2020",0.059297976
"FPS","KOR","Power","GW","Capacity","Electricity generation","Offshore wind","2020",0.024498441
"FPS","SSA","Power","GW","Capacity","Electricity generation","Offshore wind","2020",0
"FPS","GBR","Power","GW","Capacity","Electricity generation","Offshore wind","2020",5.84555566
"FPS","USA","Power","GW","Capacity","Electricity generation","Offshore wind","2020",18.82990283
"FPS","WEU","Power","GW","Capacity","Electricity generation","Offshore wind","2020",6.866959248
"FPS","WORLD","Power","GW","Capacity","Electricity generation","Offshore wind","2020",35.51100698
"FPS","AUS","Power","GW","Capacity","Electricity generation","Hydrogen","2020",0
"FPS","BRA","Power","GW","Capacity","Electricity generation","Hydrogen","2020",0
"FPS","CAN","Power","GW","Capacity","Electricity generation","Hydrogen","2020",0
"FPS","CHN","Power","GW","Capacity","Electricity generation","Hydrogen","2020",0
"FPS","CSA","Power","GW","Capacity","Electricity generation","Hydrogen","2020",0
"FPS","EEU","Power","GW","Capacity","Electricity generation","Hydrogen","2020",0
"FPS","EURA","Power","GW","Capacity","Electricity generation","Hydrogen","2020",0
"FPS","GCC","Power","GW","Capacity","Electricity generation","Hydrogen","2020",0
"FPS","IND","Power","GW","Capacity","Electricity generation","Hydrogen","2020",0
"FPS","IDN","Power","GW","Capacity","Electricity generation","Hydrogen","2020",0
"FPS","JPN","Power","GW","Capacity","Electricity generation","Hydrogen","2020",0
"FPS","MENA","Power","GW","Capacity","Electricity generation","Hydrogen","2020",0
"FPS","RUS","Power","GW","Capacity","Electricity generation","Hydrogen","2020",0
"FPS","SA","Power","GW","Capacity","Electricity generation","Hydrogen","2020",0
"FPS","ZAF","Power","GW","Capacity","Electricity generation","Hydrogen","2020",0
"FPS","SEAO","Power","GW","Capacity","Electricity generation","Hydrogen","2020",0
"FPS","KOR","Power","GW","Capacity","Electricity generation","Hydrogen","2020",0
"FPS","SSA","Power","GW","Capacity","Electricity generation","Hydrogen","2020",0
"FPS","GBR","Power","GW","Capacity","Electricity generation","Hydrogen","2020",0
"FPS","USA","Power","GW","Capacity","Electricity generation","Hydrogen","2020",0
"FPS","WEU","Power","GW","Capacity","Electricity generation","Hydrogen","2020",0
"FPS","WORLD","Power","GW","Capacity","Electricity generation","Hydrogen","2020",0
"FPS","AUS","Total","PJ","Primary energy demand","Oil",NA,"2020",1839.784331
"FPS","BRA","Total","PJ","Primary energy demand","Oil",NA,"2020",4237.229919
"FPS","CAN","Total","PJ","Primary energy demand","Oil",NA,"2020",3905.341657
"FPS","CHN","Total","PJ","Primary energy demand","Oil",NA,"2020",27238.87499
"FPS","CSA","Total","PJ","Primary energy demand","Oil",NA,"2020",9702.705812
"FPS","EEU","Total","PJ","Primary energy demand","Oil",NA,"2020",2840.904704
"FPS","EURA","Total","PJ","Primary energy demand","Oil",NA,"2020",2743.232928
"FPS","GCC","Total","PJ","Primary energy demand","Oil",NA,"2020",8255.081396
"FPS","IND","Total","PJ","Primary energy demand","Oil",NA,"2020",10408.77979
"FPS","IDN","Total","PJ","Primary energy demand","Oil",NA,"2020",3394.05133
"FPS","JPN","Total","PJ","Primary energy demand","Oil",NA,"2020",6809.045852
"FPS","MENA","Total","PJ","Primary energy demand","Oil",NA,"2020",12499.06966
"FPS","RUS","Total","PJ","Primary energy demand","Oil",NA,"2020",5413.447783
"FPS","SA","Total","PJ","Primary energy demand","Oil",NA,"2020",1788.222205
"FPS","ZAF","Total","PJ","Primary energy demand","Oil",NA,"2020",1211.783908
"FPS","SEAO","Total","PJ","Primary energy demand","Oil",NA,"2020",11612.34728
"FPS","KOR","Total","PJ","Primary energy demand","Oil",NA,"2020",4954.533512
"FPS","SSA","Total","PJ","Primary energy demand","Oil",NA,"2020",3426.855603
"FPS","GBR","Total","PJ","Primary energy demand","Oil",NA,"2020",2692.579242
"FPS","USA","Total","PJ","Primary energy demand","Oil",NA,"2020",30485.13781
"FPS","WEU","Total","PJ","Primary energy demand","Oil",NA,"2020",18524.64094
"FPS","WORLD","Total","PJ","Primary energy demand","Oil",NA,"2020",173983.6507
"FPS","AUS","Total","PJ","Primary energy demand","Natural gas",NA,"2020",1307.388781
"FPS","BRA","Total","PJ","Primary energy demand","Natural gas",NA,"2020",1271.810287
"FPS","CAN","Total","PJ","Primary energy demand","Natural gas",NA,"2020",4176.926992
"FPS","CHN","Total","PJ","Primary energy demand","Natural gas",NA,"2020",9297.602833
"FPS","CSA","Total","PJ","Primary energy demand","Natural gas",NA,"2020",6739.311115
"FPS","EEU","Total","PJ","Primary energy demand","Natural gas",NA,"2020",2149.173545
"FPS","EURA","Total","PJ","Primary energy demand","Natural gas",NA,"2020",5655.12478
"FPS","GCC","Total","PJ","Primary energy demand","Natural gas",NA,"2020",9311.109822
"FPS","IND","Total","PJ","Primary energy demand","Natural gas",NA,"2020",2254.301141
"FPS","IDN","Total","PJ","Primary energy demand","Natural gas",NA,"2020",1693.133381
"FPS","JPN","Total","PJ","Primary energy demand","Natural gas",NA,"2020",3738.774594
"FPS","MENA","Total","PJ","Primary energy demand","Natural gas",NA,"2020",14043.15414
"FPS","RUS","Total","PJ","Primary energy demand","Natural gas",NA,"2020",15478.43413
"FPS","SA","Total","PJ","Primary energy demand","Natural gas",NA,"2020",2414.370456
"FPS","ZAF","Total","PJ","Primary energy demand","Natural gas",NA,"2020",157.8062639
"FPS","SEAO","Total","PJ","Primary energy demand","Natural gas",NA,"2020",5011.485947
"FPS","KOR","Total","PJ","Primary energy demand","Natural gas",NA,"2020",1884.331947
"FPS","SSA","Total","PJ","Primary energy demand","Natural gas",NA,"2020",1027.173885
"FPS","GBR","Total","PJ","Primary energy demand","Natural gas",NA,"2020",2808.832667
"FPS","USA","Total","PJ","Primary energy demand","Natural gas",NA,"2020",28079.67451
"FPS","WEU","Total","PJ","Primary energy demand","Natural gas",NA,"2020",10906.21111
"FPS","WORLD","Total","PJ","Primary energy demand","Natural gas",NA,"2020",129406.1323
"FPS","AUS","Total","PJ","Primary energy demand","Coal",NA,"2020",1775.749919
"FPS","BRA","Total","PJ","Primary energy demand","Coal",NA,"2020",630.4052385
"FPS","CAN","Total","PJ","Primary energy demand","Coal",NA,"2020",580.4603145
"FPS","CHN","Total","PJ","Primary energy demand","Coal",NA,"2020",89235.43785
"FPS","CSA","Total","PJ","Primary energy demand","Coal",NA,"2020",1086.706239
"FPS","EEU","Total","PJ","Primary energy demand","Coal",NA,"2020",3630.655255
"FPS","EURA","Total","PJ","Primary energy demand","Coal",NA,"2020",3466.373076
"FPS","GCC","Total","PJ","Primary energy demand","Coal",NA,"2020",80.93175127
