"Annual energy","units","scenario","year","value","scenario_geography"
"nuclear_electricity","EJ","Oxford2021_fast","2024",10.80655338,"Global"
"hydro_electricity","EJ","Oxford2021_fast","2024",17.00505253,"Global"
"bioenergy_electricity","EJ","Oxford2021_fast","2024",4.6060586,"Global"
"wind_electricity","EJ","Oxford2021_fast","2024",13.7355264,"Global"
"solar_electricity","EJ","Oxford2021_fast","2024",11.06572811,"Global"
"batteries_ST_transport","EJ","Oxford2021_fast","2024",0.00568748,"Global"
"batteries_ST_electricity","EJ","Oxford2021_fast","2024",0.00016777,"Global"
"batteries_LT_electricity","EJ","Oxford2021_fast","2024",1.7e-05,"Global"
"hydrogen","EJ","Oxford2021_fast","2024",0.02547124,"Global"
"oil_final","EJ","Oxford2021_base","2025",153.3525943,"Global"
"coal_final","EJ","Oxford2021_base","2025",44.25885877,"Global"
"gas_final","EJ","Oxford2021_base","2025",64.67100309,"Global"
"coal_electricity","EJ","Oxford2021_base","2025",41.24163076,"Global"
"gas_electricity","EJ","Oxford2021_base","2025",25.61569039,"Global"
"nuclear_electricity","EJ","Oxford2021_base","2025",11.14225098,"Global"
"hydro_electricity","EJ","Oxford2021_base","2025",17.34515358,"Global"
"bioenergy_electricity","EJ","Oxford2021_base","2025",2.83413442,"Global"
"wind_electricity","EJ","Oxford2021_base","2025",5.86235323,"Global"
"solar_electricity","EJ","Oxford2021_base","2025",3.59903096,"Global"
"batteries_ST_transport","EJ","Oxford2021_base","2025",0.0003894,"Global"
"batteries_ST_electricity","EJ","Oxford2021_base","2025",0,"Global"
"batteries_LT_electricity","EJ","Oxford2021_base","2025",0,"Global"
"hydrogen","EJ","Oxford2021_base","2025",0.00152145,"Global"
"oil_final","EJ","Oxford2021_fast","2025",131.84469,"Global"
"coal_final","EJ","Oxford2021_fast","2025",34.29877453,"Global"
"gas_final","EJ","Oxford2021_fast","2025",50.01956629,"Global"
"coal_electricity","EJ","Oxford2021_fast","2025",35.99005115,"Global"
"gas_electricity","EJ","Oxford2021_fast","2025",35.33683783,"Global"
"nuclear_electricity","EJ","Oxford2021_fast","2025",10.87259749,"Global"
"hydro_electricity","EJ","Oxford2021_fast","2025",17.34515358,"Global"
"bioenergy_electricity","EJ","Oxford2021_fast","2025",5.06666446,"Global"
"wind_electricity","EJ","Oxford2021_fast","2025",16.48263168,"Global"
"solar_electricity","EJ","Oxford2021_fast","2025",14.55603585,"Global"
"batteries_ST_transport","EJ","Oxford2021_fast","2025",0.00909996,"Global"
"batteries_ST_electricity","EJ","Oxford2021_fast","2025",0.00026844,"Global"
"batteries_LT_electricity","EJ","Oxford2021_fast","2025",3.06e-05,"Global"
"hydrogen","EJ","Oxford2021_fast","2025",0.04181963,"Global"
"oil_final","EJ","Oxford2021_base","2026",155.7711131,"Global"
"coal_final","EJ","Oxford2021_base","2026",45.14403595,"Global"
"gas_final","EJ","Oxford2021_base","2026",65.96442315,"Global"
"coal_electricity","EJ","Oxford2021_base","2026",41.98398011,"Global"
"gas_electricity","EJ","Oxford2021_base","2026",26.1280042,"Global"
"nuclear_electricity","EJ","Oxford2021_base","2026",11.365096,"Global"
