"Variable_class","Sub_variable_class_1","Sub_variable_class_2","Scenario","Region","Sector","Units","year","value"
"Capacity","Electricity generation","Onshore wind","FPS","JPN","Power","GW","2020",3.73489014
"Capacity","Electricity generation","Onshore wind","FPS","MENA","Power","GW","2020",12.19738847
"Capacity","Electricity generation","Onshore wind","FPS","RUS","Power","GW","2020",0.233966872
"Capacity","Electricity generation","Onshore wind","FPS","SA","Power","GW","2020",1.544620477
"Capacity","Electricity generation","Onshore wind","FPS","ZAF","Power","GW","2020",2.244864647
"Capacity","Electricity generation","Onshore wind","FPS","SEAO","Power","GW","2020",4.21508343
"Capacity","Electricity generation","Onshore wind","FPS","KOR","Power","GW","2020",1.540335376
"Capacity","Electricity generation","Onshore wind","FPS","SSA","Power","GW","2020",0.734683752
"Capacity","Electricity generation","Onshore wind","FPS","GBR","Power","GW","2020",14.72891275
"Capacity","Electricity generation","Onshore wind","FPS","USA","Power","GW","2020",104.6953458
"Capacity","Electricity generation","Onshore wind","FPS","WEU","Power","GW","2020",143.6705348
"Capacity","Electricity generation","Onshore wind","FPS","WORLD","Power","GW","2020",667.9523123
"Capacity","Electricity generation","Offshore wind","FPS","AUS","Power","GW","2020",0
"Capacity","Electricity generation","Offshore wind","FPS","BRA","Power","GW","2020",0
"Capacity","Electricity generation","Offshore wind","FPS","CAN","Power","GW","2020",0
"Capacity","Electricity generation","Offshore wind","FPS","CHN","Power","GW","2020",3.823434407
"Capacity","Electricity generation","Offshore wind","FPS","CSA","Power","GW","2020",0
"Capacity","Electricity generation","Offshore wind","FPS","EEU","Power","GW","2020",0.033955272
"Capacity","Electricity generation","Offshore wind","FPS","EURA","Power","GW","2020",0
"Capacity","Electricity generation","Offshore wind","FPS","GCC","Power","GW","2020",0
"Capacity","Electricity generation","Offshore wind","FPS","IND","Power","GW","2020",0
"Capacity","Electricity generation","Offshore wind","FPS","IDN","Power","GW","2020",0
"Capacity","Electricity generation","Offshore wind","FPS","JPN","Power","GW","2020",0.027403142
"Capacity","Electricity generation","Offshore wind","FPS","MENA","Power","GW","2020",0
"Capacity","Electricity generation","Offshore wind","FPS","RUS","Power","GW","2020",0
"Capacity","Electricity generation","Offshore wind","FPS","SA","Power","GW","2020",0
"Capacity","Electricity generation","Offshore wind","FPS","ZAF","Power","GW","2020",0
"Capacity","Electricity generation","Offshore wind","FPS","SEAO","Power","GW","2020",0.059297976
"Capacity","Electricity generation","Offshore wind","FPS","KOR","Power","GW","2020",0.024498441
"Capacity","Electricity generation","Offshore wind","FPS","SSA","Power","GW","2020",0
"Capacity","Electricity generation","Offshore wind","FPS","GBR","Power","GW","2020",5.84555566
"Capacity","Electricity generation","Offshore wind","FPS","USA","Power","GW","2020",18.82990283
"Capacity","Electricity generation","Offshore wind","FPS","WEU","Power","GW","2020",6.866959248
"Capacity","Electricity generation","Offshore wind","FPS","WORLD","Power","GW","2020",35.51100698
"Capacity","Electricity generation","Hydrogen","FPS","AUS","Power","GW","2020",0
"Capacity","Electricity generation","Hydrogen","FPS","BRA","Power","GW","2020",0
"Capacity","Electricity generation","Hydrogen","FPS","CAN","Power","GW","2020",0
"Capacity","Electricity generation","Hydrogen","FPS","CHN","Power","GW","2020",0
"Capacity","Electricity generation","Hydrogen","FPS","CSA","Power","GW","2020",0
"Capacity","Electricity generation","Hydrogen","FPS","EEU","Power","GW","2020",0
"Capacity","Electricity generation","Hydrogen","FPS","EURA","Power","GW","2020",0
"Capacity","Electricity generation","Hydrogen","FPS","GCC","Power","GW","2020",0
