"Scenario","Region","Variable_class","Sub_variable_class_1","Sub_variable_class_2","Sector","Units","year","value"
"FPS","SAF","Electricity generation","Coal CCS","","Power","TWh","2020",0
"FPS","SEAO","Electricity generation","Coal CCS","","Power","TWh","2020",0
"FPS","KOR","Electricity generation","Coal CCS","","Power","TWh","2020",0
"FPS","SSA","Electricity generation","Coal CCS","","Power","TWh","2020",0
"FPS","GBR","Electricity generation","Coal CCS","","Power","TWh","2020",0
"FPS","USA","Electricity generation","Coal CCS","","Power","TWh","2020",0
"FPS","WEU","Electricity generation","Coal CCS","","Power","TWh","2020",0
"FPS","WORLD","Electricity generation","Coal CCS","","Power","TWh","2020",0
"FPS","AUS","Electricity generation","Oil","","Power","TWh","2020",4
"FPS","BRA","Electricity generation","Oil","","Power","TWh","2020",9.8
"FPS","CAN","Electricity generation","Oil","","Power","TWh","2020",4
"FPS","CHN","Electricity generation","Oil","","Power","TWh","2020",10.4
"FPS","CSA","Electricity generation","Oil","","Power","TWh","2020",96.4
"FPS","EEU","Electricity generation","Oil","","Power","TWh","2020",5.8
"FPS","EURA","Electricity generation","Oil","","Power","TWh","2020",3
"FPS","GCC","Electricity generation","Oil","","Power","TWh","2020",173.4
"FPS","IND","Electricity generation","Oil","","Power","TWh","2020",3.1
"FPS","IDN","Electricity generation","Oil","","Power","TWh","2020",7.8
"FPS","JPN","Electricity generation","Oil","","Power","TWh","2020",28.2
"FPS","MENA","Electricity generation","Oil","","Power","TWh","2020",95.8
"FPS","RUS","Electricity generation","Oil","","Power","TWh","2020",6.3
"FPS","SA","Electricity generation","Oil","","Power","TWh","2020",26.9
"FPS","SAF","Electricity generation","Oil","","Power","TWh","2020",0.3
"FPS","SEAO","Electricity generation","Oil","","Power","TWh","2020",9.4
"FPS","KOR","Electricity generation","Oil","","Power","TWh","2020",6.2
"FPS","SSA","Electricity generation","Oil","","Power","TWh","2020",20.3
"FPS","GBR","Electricity generation","Oil","","Power","TWh","2020",1.2
"FPS","USA","Electricity generation","Oil","","Power","TWh","2020",34.8
"FPS","WEU","Electricity generation","Oil","","Power","TWh","2020",42.1
"FPS","WORLD","Electricity generation","Oil","","Power","TWh","2020",589.1
"FPS","AUS","Electricity generation","Natural gas","","Power","TWh","2020",53.6
"FPS","BRA","Electricity generation","Natural gas","","Power","TWh","2020",53.7
"FPS","CAN","Electricity generation","Natural gas","","Power","TWh","2020",62.5
"FPS","CHN","Electricity generation","Natural gas","","Power","TWh","2020",251.6
"FPS","CSA","Electricity generation","Natural gas","","Power","TWh","2020",351.2
"FPS","EEU","Electricity generation","Natural gas","","Power","TWh","2020",63.4
"FPS","EURA","Electricity generation","Natural gas","","Power","TWh","2020",176
