"Scenario","Region","Variable_class","Sub_variable_class_1","Sub_variable_class_2","Sector","Units","year","value"
"FPS","Europe","Price (high)","Natural gas","","","USD / MMBtu","2035",3.2
"FPS","Asia","Price (high)","Natural gas","","","USD / MMBtu","2035",4.5
"FPS","WORLD","Price (low)","Oil","","","USD / Barrel","2035",40
"FPS","USA","Price (low)","Natural gas","","","USD / MMBtu","2035",2
"FPS","Europe","Price (low)","Natural gas","","","USD / MMBtu","2035",2.8
"FPS","Asia","Price (low)","Natural gas","","","USD / MMBtu","2035",4
"FPS","USA","Price","Coal","","","USD / tonne","2035",26.4
"FPS","Europe","Price","Coal","","","USD / tonne","2035",59
"FPS","CHN","Price","Coal","","","USD / tonne","2035",74.2
"FPS","JPN","Price","Coal","","","USD / tonne","2035",64.9
"FPS","WORLD","Price (high)","Oil","","","USD / Barrel","2036",48
"FPS","USA","Price (high)","Natural gas","","","USD / MMBtu","2036",2.5
"FPS","Europe","Price (high)","Natural gas","","","USD / MMBtu","2036",3.2
"FPS","Asia","Price (high)","Natural gas","","","USD / MMBtu","2036",4.4
"FPS","WORLD","Price (low)","Oil","","","USD / Barrel","2036",38
"FPS","USA","Price (low)","Natural gas","","","USD / MMBtu","2036",2
"FPS","Europe","Price (low)","Natural gas","","","USD / MMBtu","2036",2.8
"FPS","Asia","Price (low)","Natural gas","","","USD / MMBtu","2036",4
"FPS","USA","Price","Coal","","","USD / tonne","2036",26.4
"FPS","Europe","Price","Coal","","","USD / tonne","2036",59.1
"FPS","CHN","Price","Coal","","","USD / tonne","2036",73.4
"FPS","JPN","Price","Coal","","","USD / tonne","2036",64.3
"FPS","WORLD","Price (high)","Oil","","","USD / Barrel","2037",46
"FPS","USA","Price (high)","Natural gas","","","USD / MMBtu","2037",2.4
"FPS","Europe","Price (high)","Natural gas","","","USD / MMBtu","2037",3.2
"FPS","Asia","Price (high)","Natural gas","","","USD / MMBtu","2037",4.4
"FPS","WORLD","Price (low)","Oil","","","USD / Barrel","2037",36
"FPS","USA","Price (low)","Natural gas","","","USD / MMBtu","2037",1.9
"FPS","Europe","Price (low)","Natural gas","","","USD / MMBtu","2037",2.8
"FPS","Asia","Price (low)","Natural gas","","","USD / MMBtu","2037",3.9
"FPS","USA","Price","Coal","","","USD / tonne","2037",26.3
"FPS","Europe","Price","Coal","","","USD / tonne","2037",59.1
"FPS","CHN","Price","Coal","","","USD / tonne","2037",72.7
"FPS","JPN","Price","Coal","","","USD / tonne","2037",63.8
"FPS","WORLD","Price (high)","Oil","","","USD / Barrel","2038",44
"FPS","USA","Price (high)","Natural gas","","","USD / MMBtu","2038",2.4
"FPS","Europe","Price (high)","Natural gas","","","USD / MMBtu","2038",3.2
"FPS","Asia","Price (high)","Natural gas","","","USD / MMBtu","2038",4.3
"FPS","WORLD","Price (low)","Oil","","","USD / Barrel","2038",34
"FPS","USA","Price (low)","Natural gas","","","USD / MMBtu","2038",1.9
"FPS","Europe","Price (low)","Natural gas","","","USD / MMBtu","2038",2.8
"FPS","Asia","Price (low)","Natural gas","","","USD / MMBtu","2038",3.9
"FPS","USA","Price","Coal","","","USD / tonne","2038",26.3
"FPS","Europe","Price","Coal","","","USD / tonne","2038",59.2
"FPS","CHN","Price","Coal","","","USD / tonne","2038",72
"FPS","JPN","Price","Coal","","","USD / tonne","2038",63.2
"FPS","WORLD","Price (high)","Oil","","","USD / Barrel","2039",42
"FPS","USA","Price (high)","Natural gas","","","USD / MMBtu","2039",2.3
"FPS","Europe","Price (high)","Natural gas","","","USD / MMBtu","2039",3.2
"FPS","Asia","Price (high)","Natural gas","","","USD / MMBtu","2039",4.3
"FPS","WORLD","Price (low)","Oil","","","USD / Barrel","2039",32
"FPS","USA","Price (low)","Natural gas","","","USD / MMBtu","2039",1.8
"FPS","Europe","Price (low)","Natural gas","","","USD / MMBtu","2039",2.8
"FPS","Asia","Price (low)","Natural gas","","","USD / MMBtu","2039",3.8
"FPS","USA","Price","Coal","","","USD / tonne","2039",26.2
"FPS","Europe","Price","Coal","","","USD / tonne","2039",59.2
"FPS","CHN","Price","Coal","","","USD / tonne","2039",71.3
"FPS","JPN","Price","Coal","","","USD / tonne","2039",62.7
"FPS","WORLD","Price (high)","Oil","","","USD / Barrel","2040",40
"FPS","USA","Price (high)","Natural gas","","","USD / MMBtu","2040",2.2
"FPS","Europe","Price (high)","Natural gas","","","USD / MMBtu","2040",3.2
"FPS","Asia","Price (high)","Natural gas","","","USD / MMBtu","2040",4.2
"FPS","WORLD","Price (low)","Oil","","","USD / Barrel","2040",30
"FPS","USA","Price (low)","Natural gas","","","USD / MMBtu","2040",1.8
"FPS","Europe","Price (low)","Natural gas","","","USD / MMBtu","2040",2.8
"FPS","Asia","Price (low)","Natural gas","","","USD / MMBtu","2040",3.8
"FPS","USA","Price","Coal","","","USD / tonne","2040",26.2
"FPS","Europe","Price","Coal","","","USD / tonne","2040",59.3
"FPS","CHN","Price","Coal","","","USD / tonne","2040",70.6
"FPS","JPN","Price","Coal","","","USD / tonne","2040",62.1
"FPS","WORLD","Price (high)","Oil","","","USD / Barrel","2041",38
"FPS","USA","Price (high)","Natural gas","","","USD / MMBtu","2041",2.2
"FPS","Europe","Price (high)","Natural gas","","","USD / MMBtu","2041",3.2
"FPS","Asia","Price (high)","Natural gas","","","USD / MMBtu","2041",4.2
"FPS","WORLD","Price (low)","Oil","","","USD / Barrel","2041",28
"FPS","USA","Price (low)","Natural gas","","","USD / MMBtu","2041",1.8
"FPS","Europe","Price (low)","Natural gas","","","USD / MMBtu","2041",2.7
"FPS","Asia","Price (low)","Natural gas","","","USD / MMBtu","2041",3.6
"FPS","USA","Price","Coal","","","USD / tonne","2041",26.2
"FPS","Europe","Price","Coal","","","USD / tonne","2041",59.3
"FPS","CHN","Price","Coal","","","USD / tonne","2041",70.1
"FPS","JPN","Price","Coal","","","USD / tonne","2041",61.9
"FPS","WORLD","Price (high)","Oil","","","USD / Barrel","2042",36
"FPS","USA","Price (high)","Natural gas","","","USD / MMBtu","2042",2.2
"FPS","Europe","Price (high)","Natural gas","","","USD / MMBtu","2042",3.1
"FPS","Asia","Price (high)","Natural gas","","","USD / MMBtu","2042",4
"FPS","WORLD","Price (low)","Oil","","","USD / Barrel","2042",26
"FPS","USA","Price (low)","Natural gas","","","USD / MMBtu","2042",1.8
"FPS","Europe","Price (low)","Natural gas","","","USD / MMBtu","2042",2.6
"FPS","Asia","Price (low)","Natural gas","","","USD / MMBtu","2042",3.5
"FPS","USA","Price","Coal","","","USD / tonne","2042",26.1
"FPS","Europe","Price","Coal","","","USD / tonne","2042",59.3
"FPS","CHN","Price","Coal","","","USD / tonne","2042",69.5
"FPS","JPN","Price","Coal","","","USD / tonne","2042",61.6
"FPS","WORLD","Price (high)","Oil","","","USD / Barrel","2043",34
"FPS","USA","Price (high)","Natural gas","","","USD / MMBtu","2043",2.2
"FPS","Europe","Price (high)","Natural gas","","","USD / MMBtu","2043",3.1
"FPS","Asia","Price (high)","Natural gas","","","USD / MMBtu","2043",4
"FPS","WORLD","Price (low)","Oil","","","USD / Barrel","2043",24
"FPS","USA","Price (low)","Natural gas","","","USD / MMBtu","2043",1.8
"FPS","Europe","Price (low)","Natural gas","","","USD / MMBtu","2043",2.6
"FPS","Asia","Price (low)","Natural gas","","","USD / MMBtu","2043",3.5
"FPS","USA","Price","Coal","","","USD / tonne","2043",26.1
"FPS","Europe","Price","Coal","","","USD / tonne","2043",59.4
"FPS","CHN","Price","Coal","","","USD / tonne","2043",68.9
"FPS","JPN","Price","Coal","","","USD / tonne","2043",61.4
"FPS","WORLD","Price (high)","Oil","","","USD / Barrel","2044",32
"FPS","USA","Price (high)","Natural gas","","","USD / MMBtu","2044",2.2
"FPS","Europe","Price (high)","Natural gas","","","USD / MMBtu","2044",3
"FPS","Asia","Price (high)","Natural gas","","","USD / MMBtu","2044",3.9
"FPS","WORLD","Price (low)","Oil","","","USD / Barrel","2044",22
"FPS","USA","Price (low)","Natural gas","","","USD / MMBtu","2044",1.8
"FPS","Europe","Price (low)","Natural gas","","","USD / MMBtu","2044",2.5
"FPS","Asia","Price (low)","Natural gas","","","USD / MMBtu","2044",3.4
"FPS","USA","Price","Coal","","","USD / tonne","2044",26
"FPS","Europe","Price","Coal","","","USD / tonne","2044",59.4
"FPS","CHN","Price","Coal","","","USD / tonne","2044",68.3
"FPS","JPN","Price","Coal","","","USD / tonne","2044",61.1
"FPS","WORLD","Price (high)","Oil","","","USD / Barrel","2045",30
"FPS","USA","Price (high)","Natural gas","","","USD / MMBtu","2045",2.2
"FPS","Europe","Price (high)","Natural gas","","","USD / MMBtu","2045",3
"FPS","Asia","Price (high)","Natural gas","","","USD / MMBtu","2045",3.8
"FPS","WORLD","Price (low)","Oil","","","USD / Barrel","2045",20
"FPS","USA","Price (low)","Natural gas","","","USD / MMBtu","2045",1.8
"FPS","Europe","Price (low)","Natural gas","","","USD / MMBtu","2045",2.5
"FPS","Asia","Price (low)","Natural gas","","","USD / MMBtu","2045",3.2
"FPS","USA","Price","Coal","","","USD / tonne","2045",26
"FPS","Europe","Price","Coal","","","USD / tonne","2045",59.4
"FPS","CHN","Price","Coal","","","USD / tonne","2045",67.8
"FPS","JPN","Price","Coal","","","USD / tonne","2045",60.8
"FPS","WORLD","Price (high)","Oil","","","USD / Barrel","2046",29
"FPS","USA","Price (high)","Natural gas","","","USD / MMBtu","2046",2.2
"FPS","Europe","Price (high)","Natural gas","","","USD / MMBtu","2046",3
"FPS","Asia","Price (high)","Natural gas","","","USD / MMBtu","2046",3.6
"FPS","WORLD","Price (low)","Oil","","","USD / Barrel","2046",19
"FPS","USA","Price (low)","Natural gas","","","USD / MMBtu","2046",1.8
"FPS","Europe","Price (low)","Natural gas","","","USD / MMBtu","2046",2.5
"FPS","Asia","Price (low)","Natural gas","","","USD / MMBtu","2046",3.1
"FPS","USA","Price","Coal","","","USD / tonne","2046",26
"FPS","Europe","Price","Coal","","","USD / tonne","2046",59.5
"FPS","CHN","Price","Coal","","","USD / tonne","2046",67.5
"FPS","JPN","Price","Coal","","","USD / tonne","2046",60.8
"FPS","WORLD","Price (high)","Oil","","","USD / Barrel","2047",28
"FPS","USA","Price (high)","Natural gas","","","USD / MMBtu","2047",2.2
"FPS","Europe","Price (high)","Natural gas","","","USD / MMBtu","2047",3
"FPS","Asia","Price (high)","Natural gas","","","USD / MMBtu","2047",3.5
"FPS","WORLD","Price (low)","Oil","","","USD / Barrel","2047",18
"FPS","USA","Price (low)","Natural gas","","","USD / MMBtu","2047",1.8
"FPS","Europe","Price (low)","Natural gas","","","USD / MMBtu","2047",2.5
"FPS","Asia","Price (low)","Natural gas","","","USD / MMBtu","2047",3
"FPS","USA","Price","Coal","","","USD / tonne","2047",26
"FPS","Europe","Price","Coal","","","USD / tonne","2047",59.5
"FPS","CHN","Price","Coal","","","USD / tonne","2047",67.3
"FPS","JPN","Price","Coal","","","USD / tonne","2047",60.7
"FPS","WORLD","Price (high)","Oil","","","USD / Barrel","2048",27
"FPS","USA","Price (high)","Natural gas","","","USD / MMBtu","2048",2.2
"FPS","Europe","Price (high)","Natural gas","","","USD / MMBtu","2048",3
"FPS","Asia","Price (high)","Natural gas","","","USD / MMBtu","2048",3.5
"FPS","WORLD","Price (low)","Oil","","","USD / Barrel","2048",17
"FPS","USA","Price (low)","Natural gas","","","USD / MMBtu","2048",1.8
"FPS","Europe","Price (low)","Natural gas","","","USD / MMBtu","2048",2.5
"FPS","Asia","Price (low)","Natural gas","","","USD / MMBtu","2048",3
"FPS","USA","Price","Coal","","","USD / tonne","2048",26
"FPS","Europe","Price","Coal","","","USD / tonne","2048",59.5
"FPS","CHN","Price","Coal","","","USD / tonne","2048",67
"FPS","JPN","Price","Coal","","","USD / tonne","2048",60.7
"FPS","WORLD","Price (high)","Oil","","","USD / Barrel","2049",26
"FPS","USA","Price (high)","Natural gas","","","USD / MMBtu","2049",2.2
"FPS","Europe","Price (high)","Natural gas","","","USD / MMBtu","2049",3
"FPS","Asia","Price (high)","Natural gas","","","USD / MMBtu","2049",3.4
"FPS","WORLD","Price (low)","Oil","","","USD / Barrel","2049",16
"FPS","USA","Price (low)","Natural gas","","","USD / MMBtu","2049",1.8
"FPS","Europe","Price (low)","Natural gas","","","USD / MMBtu","2049",2.5
"FPS","Asia","Price (low)","Natural gas","","","USD / MMBtu","2049",2.9
"FPS","USA","Price","Coal","","","USD / tonne","2049",25.9
"FPS","Europe","Price","Coal","","","USD / tonne","2049",59.6
"FPS","CHN","Price","Coal","","","USD / tonne","2049",66.7
"FPS","JPN","Price","Coal","","","USD / tonne","2049",60.6
"FPS","WORLD","Price (high)","Oil","","","USD / Barrel","2050",25
"FPS","USA","Price (high)","Natural gas","","","USD / MMBtu","2050",2.2
"FPS","Europe","Price (high)","Natural gas","","","USD / MMBtu","2050",3
"FPS","Asia","Price (high)","Natural gas","","","USD / MMBtu","2050",3.2
"FPS","WORLD","Price (low)","Oil","","","USD / Barrel","2050",15
"FPS","USA","Price (low)","Natural gas","","","USD / MMBtu","2050",1.8
"FPS","Europe","Price (low)","Natural gas","","","USD / MMBtu","2050",2.5
"FPS","Asia","Price (low)","Natural gas","","","USD / MMBtu","2050",2.8
"FPS","USA","Price","Coal","","","USD / tonne","2050",25.9
"FPS","Europe","Price","Coal","","","USD / tonne","2050",59.6
"FPS","CHN","Price","Coal","","","USD / tonne","2050",66.5
"FPS","JPN","Price","Coal","","","USD / tonne","2050",60.6
