"Scenario","Region","Variable_class","Sub_variable_class_1","Units","year","value"
"FPS","WORLD","Price (low)","Oil","USD / Barrel","2026",52
"FPS","USA","Price (low)","Natural gas","USD / MMBtu","2026",2.38
"FPS","Europe","Price (low)","Natural gas","USD / MMBtu","2026",3.8
"FPS","Asia","Price (low)","Natural gas","USD / MMBtu","2026",4.64
"FPS","USA","Price","Coal","USD / tonne","2026",37.28
"FPS","Europe","Price","Coal","USD / tonne","2026",56.66
"FPS","CHN","Price","Coal","USD / tonne","2026",79.38
"FPS","JPN","Price","Coal","USD / tonne","2026",71.24
"RPS","WORLD","Price (high)","Oil","USD / Barrel","2026",49
"RPS","USA","Price (high)","Natural gas","USD / MMBtu","2026",2.68
"RPS","Europe","Price (high)","Natural gas","USD / MMBtu","2026",3.8
"RPS","Asia","Price (high)","Natural gas","USD / MMBtu","2026",4.64
"RPS","WORLD","Price (low)","Oil","USD / Barrel","2026",43
"RPS","USA","Price (low)","Natural gas","USD / MMBtu","2026",2.38
"RPS","Europe","Price (low)","Natural gas","USD / MMBtu","2026",3.5
"RPS","Asia","Price (low)","Natural gas","USD / MMBtu","2026",4.34
"RPS","USA","Price","Coal","USD / tonne","2026",32.06
"RPS","Europe","Price","Coal","USD / tonne","2026",56.36
"RPS","CHN","Price","Coal","USD / tonne","2026",75.42
"RPS","JPN","Price","Coal","USD / tonne","2026",66.38
"FPS","WORLD","Price (high)","Oil","USD / Barrel","2027",56
"FPS","USA","Price (high)","Natural gas","USD / MMBtu","2027",2.76
"FPS","Europe","Price (high)","Natural gas","USD / MMBtu","2027",4.2
"FPS","Asia","Price (high)","Natural gas","USD / MMBtu","2027",5.08
"FPS","WORLD","Price (low)","Oil","USD / Barrel","2027",49
"FPS","USA","Price (low)","Natural gas","USD / MMBtu","2027",2.41
"FPS","Europe","Price (low)","Natural gas","USD / MMBtu","2027",3.85
"FPS","Asia","Price (low)","Natural gas","USD / MMBtu","2027",4.73
"FPS","USA","Price","Coal","USD / tonne","2027",36.36
"FPS","Europe","Price","Coal","USD / tonne","2027",57.72
"FPS","CHN","Price","Coal","USD / tonne","2027",78.76
"FPS","JPN","Price","Coal","USD / tonne","2027",71.48
"RPS","WORLD","Price (high)","Oil","USD / Barrel","2027",45.5
"RPS","USA","Price (high)","Natural gas","USD / MMBtu","2027",2.76
"RPS","Europe","Price (high)","Natural gas","USD / MMBtu","2027",3.85
"RPS","Asia","Price (high)","Natural gas","USD / MMBtu","2027",4.73
"RPS","WORLD","Price (low)","Oil","USD / Barrel","2027",38.5
"RPS","USA","Price (low)","Natural gas","USD / MMBtu","2027",2.41
"RPS","Europe","Price (low)","Natural gas","USD / MMBtu","2027",3.5
"RPS","Asia","Price (low)","Natural gas","USD / MMBtu","2027",4.38
"RPS","USA","Price","Coal","USD / tonne","2027",30.27
"RPS","Europe","Price","Coal","USD / tonne","2027",57.37
"RPS","CHN","Price","Coal","USD / tonne","2027",74.14
"RPS","JPN","Price","Coal","USD / tonne","2027",65.81
"FPS","WORLD","Price (high)","Oil","USD / Barrel","2028",54
"FPS","USA","Price (high)","Natural gas","USD / MMBtu","2028",2.84
"FPS","Europe","Price (high)","Natural gas","USD / MMBtu","2028",4.3
"FPS","Asia","Price (high)","Natural gas","USD / MMBtu","2028",5.22
"FPS","WORLD","Price (low)","Oil","USD / Barrel","2028",46
"FPS","USA","Price (low)","Natural gas","USD / MMBtu","2028",2.44
"FPS","Europe","Price (low)","Natural gas","USD / MMBtu","2028",3.9
"FPS","Asia","Price (low)","Natural gas","USD / MMBtu","2028",4.82
"FPS","USA","Price","Coal","USD / tonne","2028",35.44
"FPS","Europe","Price","Coal","USD / tonne","2028",58.78
"FPS","CHN","Price","Coal","USD / tonne","2028",78.14
"FPS","JPN","Price","Coal","USD / tonne","2028",71.72
"RPS","WORLD","Price (high)","Oil","USD / Barrel","2028",42
"RPS","USA","Price (high)","Natural gas","USD / MMBtu","2028",2.84
"RPS","Europe","Price (high)","Natural gas","USD / MMBtu","2028",3.9
"RPS","Asia","Price (high)","Natural gas","USD / MMBtu","2028",4.82
"RPS","WORLD","Price (low)","Oil","USD / Barrel","2028",34
"RPS","USA","Price (low)","Natural gas","USD / MMBtu","2028",2.44
"RPS","Europe","Price (low)","Natural gas","USD / MMBtu","2028",3.5
"RPS","Asia","Price (low)","Natural gas","USD / MMBtu","2028",4.42
"RPS","USA","Price","Coal","USD / tonne","2028",28.48
"RPS","Europe","Price","Coal","USD / tonne","2028",58.38
"RPS","CHN","Price","Coal","USD / tonne","2028",72.86
"RPS","JPN","Price","Coal","USD / tonne","2028",65.24
"FPS","WORLD","Price (high)","Oil","USD / Barrel","2029",52
"FPS","USA","Price (high)","Natural gas","USD / MMBtu","2029",2.92
"FPS","Europe","Price (high)","Natural gas","USD / MMBtu","2029",4.4
"FPS","Asia","Price (high)","Natural gas","USD / MMBtu","2029",5.36
"FPS","WORLD","Price (low)","Oil","USD / Barrel","2029",43
"FPS","USA","Price (low)","Natural gas","USD / MMBtu","2029",2.47
"FPS","Europe","Price (low)","Natural gas","USD / MMBtu","2029",3.95
"FPS","Asia","Price (low)","Natural gas","USD / MMBtu","2029",4.91
"FPS","USA","Price","Coal","USD / tonne","2029",34.52
"FPS","Europe","Price","Coal","USD / tonne","2029",59.84
"FPS","CHN","Price","Coal","USD / tonne","2029",77.52
"FPS","JPN","Price","Coal","USD / tonne","2029",71.96
"RPS","WORLD","Price (high)","Oil","USD / Barrel","2029",38.5
"RPS","USA","Price (high)","Natural gas","USD / MMBtu","2029",2.92
"RPS","Europe","Price (high)","Natural gas","USD / MMBtu","2029",3.95
"RPS","Asia","Price (high)","Natural gas","USD / MMBtu","2029",4.91
