Source,Scenario,ScenarioGeography,Sector,Technology,Sub_Technology,Indicator,Units,Year,AnnualvalIEAtech,refvalIEAtech,refvalIEAsec,techFSRatio,mktFSRatio,Direction,FairSharePerc
WEO2021,APS,NonOECD,Coal,Coal,NA,Production,Mtce,2030,4278,4278,21390,0,0,declining,0
WEO2021,APS,NonOECD,Coal,Coal,NA,Production,Mtce,2035,3883,4278,21390,-0.09233286582515195,-0.09233286582515195,declining,-0.09233286582515195
WEO2021,APS,NonOECD,Coal,Coal,NA,Production,Mtce,2040,3403,4278,21390,-0.20453482935951378,-0.20453482935951378,declining,-0.20453482935951378
WEO2021,APS,NonOECD,Coal,Coal,NA,Production,Mtce,2045,2786,4278,21390,-0.3487611033193081,-0.3487611033193081,declining,-0.3487611033193081
WEO2021,APS,NonOECD,Coal,Coal,NA,Production,Mtce,2050,2265,4278,21390,-0.47054698457223,-0.47054698457223,declining,-0.47054698457223
WEO2021,APS,NonOECD,Oil&Gas,Gas,NA,Production,bcm,2030,2844,2844,14220,0,0,declining,0
WEO2021,APS,NonOECD,Oil&Gas,Oil,NA,Production,mb/d,2030,64.8,64.8,324,0,0,declining,0
WEO2021,APS,NonOECD,Oil&Gas,Gas,NA,Production,bcm,2035,2948,2844,14220,0.03656821378340366,0.035753575357535754,declining,0.03656821378340366
WEO2021,APS,NonOECD,Oil&Gas,Oil,NA,Production,mb/d,2035,62.6,64.8,324,-0.03395061728395055,-7.563256325632548e-4,declining,-0.03395061728395055
WEO2021,APS,NonOECD,Oil&Gas,Gas,NA,Production,bcm,2040,2979,2844,14220,0.04746835443037975,0.04641089108910891,declining,0.04746835443037975
WEO2021,APS,NonOECD,Oil&Gas,Oil,NA,Production,mb/d,2040,59.9,64.8,324,-0.07561728395061726,-0.001684543454345434,declining,-0.07561728395061726
WEO2021,APS,NonOECD,Oil&Gas,Gas,NA,Production,bcm,2045,3038,2844,14220,0.06821378340365682,0.06669416941694169,declining,0.06821378340365682
WEO2021,APS,NonOECD,Oil&Gas,Oil,NA,Production,mb/d,2045,58,64.8,324,-0.10493827160493824,-0.002337733773377337,declining,-0.10493827160493824
WEO2021,APS,NonOECD,Oil&Gas,Gas,NA,Production,bcm,2050,3049,2844,14220,0.0720815752461322,0.07047579757975797,declining,0.0720815752461322
WEO2021,APS,NonOECD,Oil&Gas,Oil,NA,Production,mb/d,2050,57.7,64.8,324,-0.10956790123456782,-0.0024408690869086886,declining,-0.10956790123456782
WEO2021,APS,NonOECD,Power,CoalCap,NA,Capacity,GW,2030,1747.12,1747.12,88890.9,0,0,declining,0
WEO2021,APS,NonOECD,Power,CoalCap,NA,Capacity,GW,2030,128.41,1747.12,88890.9,-0.9265019002701589,-0.17151330658277714,declining,-0.9265019002701589
WEO2021,APS,NonOECD,Power,GasCap,NA,Capacity,GW,2030,1125.97,1125.97,88890.9,0,0,declining,0
WEO2021,APS,NonOECD,Power,GasCap,NA,Capacity,GW,2030,149.59,1125.97,88890.9,-0.8671456610744513,-0.10345408521680348,declining,-0.8671456610744513
WEO2021,APS,NonOECD,Power,HydroCap,NA,Capacity,GW,2030,2038.38,2038.38,88890.9,0,0,increasing,0
WEO2021,APS,NonOECD,Power,HydroCap,NA,Capacity,GW,2030,129,2038.38,88890.9,-0.9367144497100639,-0.20231176512347676,increasing,-0.20231176512347676
WEO2021,APS,NonOECD,Power,NuclearCap,NA,Capacity,GW,2030,192.47,192.47,88890.9,0,0,increasing,0
WEO2021,APS,NonOECD,Power,NuclearCap,NA,Capacity,GW,2030,0,192.47,88890.9,-1,-0.020393502306149416,increasing,-0.020393502306149416
WEO2021,APS,NonOECD,Power,OilCap,NA,Capacity,GW,2030,206.91,206.91,88890.9,0,0,declining,0
WEO2021,APS,NonOECD,Power,OilCap,NA,Capacity,GW,2030,20.32,206.91,88890.9,-0.901793050118409,-0.019770476413489994,declining,-0.901793050118409
WEO2021,APS,NonOECD,Power,RenewablesCap,NA,Capacity,GW,2030,3578.2399999999993,3578.2399999999993,88890.9,0,0,increasing,0
