scenario_geography,scenario,ald_sector,units,technology,year,direction,fair_share_perc
Africa,WEO2021_SDS,Coal,Mtce,Coal,2035,declining,-0.2214765100671141
Africa,WEO2021_SDS,Coal,Mtce,Coal,2040,declining,-0.4630872483221477
Africa,WEO2021_SDS,Coal,Mtce,Coal,2045,declining,-0.6308724832214765
Africa,WEO2021_SDS,Coal,Mtce,Coal,2050,declining,-0.6912751677852349
Africa,WEO2021_SDS,Oil&Gas,bcm,Gas,2030,declining,0
Africa,WEO2021_SDS,Oil&Gas,mb/d,Oil,2030,declining,0
Africa,WEO2021_SDS,Oil&Gas,bcm,Gas,2035,declining,-0.01079136690647482
Africa,WEO2021_SDS,Oil&Gas,mb/d,Oil,2035,declining,-0.1166666666666667
Africa,WEO2021_SDS,Oil&Gas,bcm,Gas,2040,declining,-0.01079136690647482
Africa,WEO2021_SDS,Oil&Gas,mb/d,Oil,2040,declining,-0.25
Africa,WEO2021_SDS,Oil&Gas,bcm,Gas,2045,declining,-0.0539568345323741
Africa,WEO2021_SDS,Oil&Gas,mb/d,Oil,2045,declining,-0.35000000000000003
Africa,WEO2021_SDS,Oil&Gas,bcm,Gas,2050,declining,-0.09352517985611512
Africa,WEO2021_SDS,Oil&Gas,mb/d,Oil,2050,declining,-0.43333333333333335
Africa,WEO2021_SDS,Power,GW,CoalCap,2030,declining,0
Africa,WEO2021_SDS,Power,GW,GasCap,2030,declining,0
Africa,WEO2021_SDS,Power,GW,HydroCap,2030,increasing,0
Africa,WEO2021_SDS,Power,GW,NuclearCap,2030,increasing,0
Africa,WEO2021_SDS,Power,GW,OilCap,2030,declining,0
Africa,WEO2021_SDS,Power,GW,RenewablesCap,2030,increasing,0
Africa,WEO2021_SDS,Power,GW,CoalCap,2035,declining,-0.2486075949367089
Africa,WEO2021_SDS,Power,GW,GasCap,2035,declining,0.07364541098415024
Africa,WEO2021_SDS,Power,GW,HydroCap,2035,increasing,0.04972126446041309
Africa,WEO2021_SDS,Power,GW,NuclearCap,2035,increasing,0.00219121580253278
Africa,WEO2021_SDS,Power,GW,OilCap,2035,declining,0.12191358024691344
Africa,WEO2021_SDS,Power,GW,RenewablesCap,2035,increasing,0.33522379402571456
Africa,WEO2021_SDS,Power,GW,CoalCap,2040,declining,-0.730632911392405
Africa,WEO2021_SDS,Power,GW,GasCap,2040,declining,0.16564688536675265
Africa,WEO2021_SDS,Power,GW,HydroCap,2040,increasing,0.1210646730899365
Africa,WEO2021_SDS,Power,GW,NuclearCap,2040,increasing,0.00868430380562627
Africa,WEO2021_SDS,Power,GW,OilCap,2040,declining,0.0673868312757201
Africa,WEO2021_SDS,Power,GW,RenewablesCap,2040,increasing,0.6957110173041602
Africa,WEO2021_SDS,Power,GW,CoalCap,2045,declining,-0.789367088607595
Africa,WEO2021_SDS,Power,GW,GasCap,2045,declining,0.295023958717287
Africa,WEO2021_SDS,Power,GW,HydroCap,2045,increasing,0.20094737859697745
Africa,WEO2021_SDS,Power,GW,NuclearCap,2045,increasing,0.00868430380562627
Africa,WEO2021_SDS,Power,GW,OilCap,2045,declining,0.0931069958847736
Africa,WEO2021_SDS,Power,GW,RenewablesCap,2045,increasing,1.0503496278155513
Africa,WEO2021_SDS,Power,GW,CoalCap,2050,declining,-0.7896202531645569
Africa,WEO2021_SDS,Power,GW,GasCap,2050,declining,0.4085514190932546
Africa,WEO2021_SDS,Power,GW,HydroCap,2050,increasing,0.2925917571617311
Africa,WEO2021_SDS,Power,GW,NuclearCap,2050,increasing,0.00868430380562627
Africa,WEO2021_SDS,Power,GW,OilCap,2050,declining,0.16126543209876532
Africa,WEO2021_SDS,Power,GW,RenewablesCap,2050,increasing,1.3718622111945349
Africa,WEO2021_STEPS,Coal,Mtce,Coal,2030,declining,0
Africa,WEO2021_STEPS,Coal,Mtce,Coal,2035,declining,-0.06030150753768844
Africa,WEO2021_STEPS,Coal,Mtce,Coal,2040,declining,-0.09547738693467336
Africa,WEO2021_STEPS,Coal,Mtce,Coal,2045,declining,-0.1658291457286432
Africa,WEO2021_STEPS,Coal,Mtce,Coal,2050,declining,-0.1457286432160804
Africa,WEO2021_STEPS,Oil&Gas,bcm,Gas,2030,declining,0
Africa,WEO2021_STEPS,Oil&Gas,mb/d,Oil,2030,declining,0
Africa,WEO2021_STEPS,Oil&Gas,bcm,Gas,2035,declining,0.10163934426229508
Africa,WEO2021_STEPS,Oil&Gas,mb/d,Oil,2035,declining,-0.01449275362318848
Africa,WEO2021_STEPS,Oil&Gas,bcm,Gas,2040,declining,0.21967213114754097
Africa,WEO2021_STEPS,Oil&Gas,mb/d,Oil,2040,declining,-0.01449275362318848
Africa,WEO2021_STEPS,Oil&Gas,bcm,Gas,2045,declining,0.35737704918032787
Africa,WEO2021_STEPS,Oil&Gas,mb/d,Oil,2045,declining,0.01449275362318835
Africa,WEO2021_STEPS,Oil&Gas,bcm,Gas,2050,declining,0.46229508196721314
Africa,WEO2021_STEPS,Oil&Gas,mb/d,Oil,2050,declining,0.05797101449275354
Africa,WEO2021_STEPS,Power,GW,CoalCap,2030,declining,0
Africa,WEO2021_STEPS,Power,GW,GasCap,2030,declining,0
Africa,WEO2021_STEPS,Power,GW,HydroCap,2030,increasing,0
Africa,WEO2021_STEPS,Power,GW,NuclearCap,2030,increasing,0
Africa,WEO2021_STEPS,Power,GW,OilCap,2030,declining,0
Africa,WEO2021_STEPS,Power,GW,RenewablesCap,2030,increasing,0
Africa,WEO2021_STEPS,Power,GW,CoalCap,2035,declining,-0.06798679867986805
Africa,WEO2021_STEPS,Power,GW,GasCap,2035,declining,0.14179218013083816
Africa,WEO2021_STEPS,Power,GW,HydroCap,2035,increasing,0.03714045721809803
Africa,WEO2021_STEPS,Power,GW,NuclearCap,2035,increasing,0.00122590751208881
Africa,WEO2021_STEPS,Power,GW,OilCap,2035,declining,0.04422964264792026
Africa,WEO2021_STEPS,Power,GW,RenewablesCap,2035,increasing,0.1825467093464096
Africa,WEO2021_STEPS,Power,GW,CoalCap,2040,declining,-0.17513751375137515
Africa,WEO2021_STEPS,Power,GW,GasCap,2040,declining,0.28944165525635157
Africa,WEO2021_STEPS,Power,GW,HydroCap,2040,increasing,0.10261299916002634
Africa,WEO2021_STEPS,Power,GW,NuclearCap,2040,increasing,0.00308747077118663
Africa,WEO2021_STEPS,Power,GW,OilCap,2040,declining,0.01288810779144691
